well,area,roundness,circ_ellip,solidity
c4,4025.2576,0.398,0.55,0.756
a8 ,4586.4714,0.645,0.909,0.876
d10,3866.56956,0.69,0.441,0.889
c11,4180.0752,0.464,0.677,0.896
d9,6057.2386,0.684,0.625,0.906
b11,4919.32924,0.747,0.723,0.933
d2,3289.874,0.748,0.84,0.933
a1,3595.63876,0.764,0.823,0.937
a11,3661.43624,0.833,0.742,0.953
a5,4253.61356,0.798,0.718,0.954
b1,3479.52556,0.835,0.947,0.955
a2,3467.91424,0.872,0.92,0.969
a10,3990.42364,0.848,0.863,0.97
c2,3177.63124,0.88,0.946,0.971
b2,3556.93436,0.88,0.979,0.971
d1,3227.94696,0.881,0.846,0.972
b3,3762.06768,0.889,0.956,0.972
c9,3502.7482,0.892,0.855,0.973
a3,3510.48908,0.897,0.858,0.973
d3,3564.67524,0.89,0.902,0.973
a9,3506.61864,1.089,0.918,0.974
b10,3560.8048,0.902,0.924,0.974
c12,3545.32304,0.899,0.872,0.975
c1,3634.34316,0.892,0.886,0.975
b9,3514.35952,0.907,0.923,0.976
d4,3409.85764,0.913,0.943,0.976
c3,3429.20984,0.911,0.948,0.976
a4,3529.84128,0.905,0.929,0.977
b4,3386.635,0.914,0.933,0.977
