well,area,roundness,circ_ellip,solidity,,,,,,
a1,3609.0,0.97,0.88,0.98,,,,,,
a10,3985.0,0.99,0.83,0.98,,,,,,
a11,3813.5,0.97,0.76,0.97,,,,,,
a2,3521.0,0.99,0.95,0.98,,,,,,
a3,3523.0,0.98,0.83,0.98,,,,,,
a4,3679.5,0.99,0.97,0.98,,,,,,
a5,4361.0,0.96,0.77,0.97,,,,,,
a8 ,5035.5,0.90,0.93,0.93,,,,,,
a9,3567.5,0.99,0.88,0.98,,,,,,
b1,3558.0,0.98,0.89,0.97,,,,,,
b10,3817.5,0.99,0.88,0.99,,,,,,
b11,5186.0,0.92,0.76,0.94,,,,,,
b2,3703.0,0.98,0.94,0.99,,,,,,
b3,3857.0,0.99,0.90,0.98,,,,,,
b4,3397.5,0.99,0.96,0.99,,,,,,
b9,3573.0,0.99,0.87,0.98,,,,,,
c1,3710.0,0.99,0.84,0.98,,,,,,
c11,4587.5,0.88,0.75,0.94,,,,,,
c12,3709.5,0.99,0.85,0.99,,,,,,
c2,3338.5,0.99,0.97,0.98,,,,,,
c3,3658.0,0.99,0.99,0.99,,,,,,
c4,4458.0,0.77,0.67,0.81,,,,,,
c9,3654.5,0.99,0.83,0.99,,,,,,
d1,3409.5,0.99,0.90,0.98,,,,,,
d10,4107.5,0.99,0.80,0.98,,,,,,
d2,3342.0,0.96,0.88,0.96,,,,,,
d3,3723.5,0.99,0.89,0.98,,,,,,
d4,3532.5,0.99,0.97,0.99,,,,,,
d9,6407.5,0.91,0.68,0.94,,,,,,
